Ticket Number,Ticket_Date,Invoice_Number,Product_Code_Extracted,Batch_Code,Distributor_Code,Distributor_Name,DC,Current_Status,VTA_VTR_Match_Status,Reconciliation_Remarks
7366995-20260605-115542,2026-06-05,1099853958,12601761,61290455HA,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260605-124034,2026-06-05,1099853960,13680087,61132814BA,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260605-171410,2026-06-05,,,,7402251,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260604-173942,2026-06-04,,,,7402251,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260602-162716,2026-06-02,938431554,,,7083698,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7255337-20260602-152105,2026-06-02,938420682,,60769939BB,7255337,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7255337-20260602-152527,2026-06-02,938431524,,52551092,7255337,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260529-174253,2026-05-29,938430947,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260526-145127,2026-05-26,938429917,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260526-154857,2026-05-26,1099852594,143787,61126640PA,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260526-184428,2026-05-26,1099852661,14503923,609499394HE,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260520-125136,2026-05-20,1099851479,12601933,6105043A1,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7039866-20260518-143747,2026-05-18,,12553664; 12628353; 13843427,,7039866,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260518-173528,2026-05-18,1099851343,12595301,,7366995,Intelligent Retail Private Limited,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260516-175446,2026-05-16,,13678473,61012814AA,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260516-163857,2026-05-16,938428572,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260514-104512,2026-05-14,938427804,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260511-115459,2026-05-11,938427182,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260511-144539,2026-05-11,938427509,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260509-164105,2026-05-09,938427156,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260509-174801,2026-05-09,938426165,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260506-153211,2026-05-06,938426300; 938426299,12616861; 12553664,61160454A1; 61070454X1,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260506-121020,2026-05-06,974803194,12609877,,7035170,Intelligent Retail Private Limited,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260506-121213,2026-05-06,938400602,,,7035170,Intelligent Retail Private Limited,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260506-121431,2026-05-06,974800507,12586404,,7035170,Intelligent Retail Private Limited,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260506-121622,2026-05-06,974799259,12612134,,7035170,Intelligent Retail Private Limited,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260505-165640,2026-05-05,938425983,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260428-104644,2026-04-28,938424270,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260428-104744,2026-04-28,938424273,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260425-152651,2026-04-25,,12359021,61030452VA,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260425-121647,2026-04-25,1099847476,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260421-153837,2026-04-21,938423352,12595301,52520455HAG,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260421-101618,2026-04-21,938422677,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260421-105257,2026-04-21,938422962,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260418-121038,2026-04-18,938422657,13757661,60671519FA,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260416-171029,2026-04-16,938422116,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260413-115145,2026-04-13,938420995,14445547,60720455TB,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260413-162401,2026-04-13,938421338,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260413-162947,2026-04-13,1099845311,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260410-135910,2026-04-10,1099845018,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260410-170233,2026-04-10,938420796,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260409-172037,2026-04-09,938419932,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260408-123508,2026-04-08,1099844314,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260407-104051,2026-04-07,974819521,14445547,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260406-160005,2026-04-06,938419845,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260330-155358,2026-03-30,938418509,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260328-183411,2026-03-28,938417986,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260328-183512,2026-03-28,938417987,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260326-181931,2026-03-26,938417476,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260324-102351,2026-03-24,938416577,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7198887-20260320-163006,2026-03-20,1099841356,,,7198887,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260320-141440,2026-03-20,1099841017,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260318-172303,2026-03-18,974816979,13679901,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260317-142410,2026-03-17,,13776709,60410454F1,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260316-162334,2026-03-16,938415121,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260314-173823,2026-03-14,,12559338,53482814KB,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260313-161203,2026-03-13,938414419,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260309-105343,2026-03-09,974815354,12603833,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260306-175811,2026-03-06,974814700,12620325,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260303-153059,2026-03-03,,13680206; 12230487,60340452CF; 60230451JA,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260228-122919,2026-02-28,1099837769,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260228-123828,2026-02-28,1099835137,,,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260227-162337,2026-02-27,938411056,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260224-125150,2026-02-24,938409767,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260223-154031,2026-02-23,938409638,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260223-154150,2026-02-23,938409638,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260221-120912,2026-02-21,938409393,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260219-120813,2026-02-19,974812563,12617852,60320453T3,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260211-182240,2026-02-11,938406665,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260211-182448,2026-02-11,938406682,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7255337-20260209-122950,2026-02-09,938405716,,60200451AA,7255337,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-114432,2026-02-07,974799259,12612134,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-114902,2026-02-07,974803194,12609877,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-115329,2026-02-07,974800967,12630048,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-115722,2026-02-07,974800507,12586404,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-120057,2026-02-07,974804631,12579448,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7035170-20260207-120911,2026-02-07,974804789,12602711,,7035170,Intelligent Retail Private Limited,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6865552-20260205-123147,2026-02-05,938404760,,,6865552,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260205-163141,2026-02-05,938404946,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260205-130533,2026-02-05,1099834050,13718181,60130454A1,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260204-173353,2026-02-04,938404396,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260203-182557,2026-02-03,938404320,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7039866-20260202-130234,2026-02-02,,12359021,,7039866,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260202-141124,2026-02-02,1099822425,12595302,52760455HA,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260202-141740,2026-02-02,1099822425,12569170,52860453J2,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260202-142238,2026-02-02,1099822420,12608321,52690453A7,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260202-142639,2026-02-02,1099822420,12608321,52690453A7,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260202-152625,2026-02-02,1099820872,12606043,52320451FB,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260130-165910,2026-01-30,938402418,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260127-170011,2026-01-27,938402418,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260127-171851,2026-01-27,938402418,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7039866-20260126-132940,2026-01-26,,14118476,,7039866,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260124-174404,2026-01-24,938401986,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260122-163949,2026-01-22,938401405,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260121-121255,2026-01-21,938399322,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260121-121548,2026-01-21,938400602,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260121-121640,2026-01-21,938400603,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260121-121726,2026-01-21,938400930,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7366995-20260119-114014,2026-01-19,1099830322,12609883,53390453A8,7366995,Intelligent Retail Private Limited,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260119-172932,2026-01-19,938400518,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260114-180124,2026-01-14,938397773,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260112-111548,2026-01-12,938398145,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260112-172201,2026-01-12,938398523,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260108-172926,2026-01-08,938397768,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260108-173032,2026-01-08,938397773,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260105-104747,2026-01-05,938396702,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260102-132752,2026-01-02,,,53280454B1; 52710454X2,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083698-20260102-155612,2026-01-02,938396204,,,7083698,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7402251-20260102-104504,2026-01-02,938396064,,,7402251,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6912092-20260101-195641,2026-01-01,,,53490451DA; 52242814KBG; 52520455HAG; 53230451YA; 52303657,6912092,Intelligent Retail Private Limited,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5845138-20260530-132218,2026-05-30,974826203,12957459,,5845138,Iraivi Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
3878245-20260623-192541,2026-06-23,974830143,,,3878245,Ishrath Traders,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
3878245-20260609-162633,2026-06-09,974828304,,,3878245,Ishrath Traders,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7256197-20260323-125110,2026-03-23,974810007,12567446,53570453T1,7256197,Ishrath Traders,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6969839-20260419-112937,2026-04-19,,,,6969839,Itagi Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6969839-20260105-110221,2026-01-05,,,,6969839,Itagi Associates,B929,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601172-20260328-102101,2026-03-28,1365360114,12614862,60500452CA; 605204517D,601172,J & B Associates,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601172-20260323-092832,2026-03-23,1365359581,,,601172,J & B Associates,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601172-20260313-102802,2026-03-13,1365358650,,,601172,J & B Associates,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260605-125843,2026-06-05,959180334,12566807,61171519TA,7083713,J S Distributors,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260605-130554,2026-06-05,959183850,12608543,61280455RA,7083713,J S Distributors,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260605-131601,2026-06-05,959180778,10584810,,7083713,J S Distributors,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260227-170000,2026-02-27,959162035,10604753,,7083713,J S Distributors,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260224-155852,2026-02-24,959161511,13680087,60380452CF,7083713,J S Distributors,B744,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260224-160312,2026-02-24,959162037,12607972,60090453A7,7083713,J S Distributors,B744,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7083713-20260224-160607,2026-02-24,959161511,12610593,535104515A,7083713,J S Distributors,B744,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7437394-20260415-131652,2026-04-15,959173867,12567336,,7437394,Jai Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7541792-20260629-102033,2026-06-29,,12607947,61370453A8,7541792,Jaiteja Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7541792-20260514-093423,2026-05-14,,13678473,6092281AA,7541792,Jaiteja Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7541792-20260514-093759,2026-05-14,1099849853,13680087,60800452CF,7541792,Jaiteja Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7541792-20260421-123343,2026-04-21,,12584920; 12585176,60940451za,7541792,Jaiteja Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7541792-20260217-204009,2026-02-17,1099835916,,,7541792,Jaiteja Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7329921-20260629-125426,2026-06-29,959187470,10527353,B05269L,7329921,Jaya Traders,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7329921-20260509-125051,2026-05-09,959178906,12608551,61050455LA,7329921,Jaya Traders,B744,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5144802-20260404-113758,2026-04-04,,,,5144802,Jayasoundar Agency,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6630974-20260510-070738,2026-05-10,974824231,,,6630974,Jehovah Distributors,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6630974-20260510-070856,2026-05-10,974824230,,,6630974,Jehovah Distributors,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6630974-20260510-071051,2026-05-10,974824223,,,6630974,Jehovah Distributors,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6630974-20260510-071446,2026-05-10,974824216,,,6630974,Jehovah Distributors,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7469478-20260511-183501,2026-05-11,1099850044,,60970453A1,7469478,Jyothi Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7469478-20260406-114128,2026-04-06,1099844004,,,7469478,Jyothi Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7469478-20260327-125054,2026-03-27,1099840550,,51587742AA; 53497742AB,7469478,Jyothi Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7469478-20260317-204500,2026-03-17,1099840546,,,7469478,Jyothi Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601208-20260609-172238,2026-06-09,1365804964,,,601208,Kalathil Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601208-20260609-172901,2026-06-09,1365802768,,,601208,Kalathil Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601208-20260519-171205,2026-05-19,1365803003,,,601208,Kalathil Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
